;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
127;Venta Propiedad Conj Habitacional Río Elqui - Villa Lambert;coquimbo;casa;venta;Venta Propiedad Conj Habitacional Río Elqui - Villa Lambert, Las Compañías, La Serena, Coquimbo;N;14 años;100;38;0;0;0;3;1;3;1;0;2;0;0;68500000;685000;-29,87943;-71,22184;https://www.portalinmobiliario.com/MLC-1373096973-venta-propiedad-conj-habitacional-rio-elqui-villa-lambert-_JM#position=28&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
128;Se Vende Amplia Y Acogedora Casa Mas Negocio En Coquimbo;coquimbo;casa;venta;La Nueva Cantera, Coquimbo, Centro de Coquimbo, Coquimbo, Coquimbo;0;0;89;78;0;0;0;4;0;0;0;0;0;0;0;89000000;1000000;-29,97009;-71,30476;https://www.portalinmobiliario.com/MLC-1372666833-se-vende-amplia-y-acogedora-casa-mas-negocio-en-coquimbo-_JM#position=29&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
129;Cómoda Casa En Condominio;coquimbo;casa;venta;Sector El Sauce, Rinconada, Coquimbo, Coquimbo;0;0;108;0;0;0;0;4;2;1;0;0;0;0;0;104000000;962962,963;-29,98514;-71,34488;https://www.portalinmobiliario.com/MLC-1532292478-comoda-casa-en-condominio-_JM#position=30&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
130;Gran Oportunidad Terreno Y Casa En Tongoy;coquimbo;casa;venta;Tongoy, Tongoy, Coquimbo, Coquimbo;0;0;5061;71;0;0;0;3;2;0;0;0;0;0;0;110000000;21734,83501;-30,25492;-71,50237;https://www.portalinmobiliario.com/MLC-1532292462-gran-oportunidad-terreno-y-casa-en-tongoy-_JM#position=31&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
131;Se Vende Casa En Tranquilo Sector;coquimbo;casa;venta;San Joaquin  2014, San Joaquín, La Serena, Coquimbo;0;0;240;89;0;0;0;3;3;2;0;0;0;0;0;199746761;832278,1708;-29,92159;-71,24417;https://www.portalinmobiliario.com/MLC-1372029217-se-vende-casa-en-tranquilo-sector-_JM#position=32&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
132;Se Vende Parcela Mas Casa En El Arrayan Costero (la Serena);coquimbo;casa;venta;Arrayan Costero, La Serena, La Pampa, La Serena, Coquimbo;0;0;5100;100;0;0;0;3;1;10;0;0;0;0;0;65000000;12745,09804;-29,9104;-71,24716;https://www.portalinmobiliario.com/MLC-1372718511-se-vende-parcela-mas-casa-en-el-arrayan-costero-la-serena-_JM#position=33&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
133;Se Vende Casa Excelente Ubicación En Villa Talinay, Coquimbo;coquimbo;casa;venta;Villa Talinay, Sector La Cantera, Primera Etapa, Peñuelas, Coquimbo, Coquimbo;0;0;1;0;0;0;0;2;1;2;0;0;0;0;0;66000000;66000000;-29,97009;-71,30476;https://www.portalinmobiliario.com/MLC-1532281392-se-vende-casa-excelente-ubicacion-en-villa-talinay-coquimbo-_JM#position=34&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
134;Excelente Casa De 2 Pisos En Venta Sector Puertas Del Mar;coquimbo;casa;venta;Federico Arcos, La Serena, Chile, Puerta del Mar, La Serena, Coquimbo;0;0 años;160;82;0;0;0;3;2;2;0;0;2;0;0 ;142676258;891726,6125;-29,9013;-71,26327;https://www.portalinmobiliario.com/MLC-1524797420-excelente-casa-de-2-pisos-en-venta-sector-puertas-del-mar-_JM#position=35&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
135;Casa En Valles Del Sauce;coquimbo;casa;venta;Avenida El Sauce Con Avenida Alberto Hurtado, La Herradura, Coquimbo, Coquimbo;0;0;50;50;0;0;0;3;1;2;0;0;0;0;0;75261726;1505234,52;-29,98274;-71,34815;https://www.portalinmobiliario.com/MLC-1372979179-casa-en-valles-del-sauce-_JM#position=36&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
136;Casa Familiar En La Herradura Oriente;coquimbo;casa;venta;Vicenta Rocafull  Altos De La Herradura, La Herradura, Coquimbo, Coquimbo;NP;23 años;300;100;0;0;0;3;2;2;0;0;0;0;0 ;171211509;570705,03;38,89037;-77,03196;https://www.portalinmobiliario.com/MLC-1532322828-casa-familiar-en-la-herradura-oriente-_JM#position=37&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
137;Gran Oportunidad De Inversión Camping Completo 2 Propiedades;coquimbo;casa;venta;La Ligua De Cogoti, La Ligua de Cogoti, Combarbalá, Coquimbo;0;0;5000;0;0;0;0;5;3;5;0;0;0;0;0;330000000;66000;-31,04331;-71,04721;https://www.portalinmobiliario.com/MLC-1534543782-gran-oportunidad-de-inversion-camping-completo-2-propiedades-_JM#position=38&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
138;Linda Casa En La Florida !!!!;coquimbo;casa;venta;Los Girasoles, La Serena, Chile, La Florida, La Serena, Coquimbo;0;0 años;200;60;0;0;0;3;1;2;0;0;1;0;0 ;115900000;579500;-29,92318;-71,2112;https://www.portalinmobiliario.com/MLC-1371692323-linda-casa-en-la-florida--_JM#position=39&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
139;Excelente Casa Sector La Florida;coquimbo;casa;venta;Los Girasoles, La Serena, Chile, La Florida, La Serena, Coquimbo;NOSP;20 años;200;86;0;0;0;4;1;2;0;0;1;0;0 ;120000000;600000;-29,92318;-71,2112;https://www.portalinmobiliario.com/MLC-1524758462-excelente-casa-sector-la-florida-_JM#position=40&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
140;Excelente Casa Sector Residencial La Serena;coquimbo;casa;venta;Av Guillermo Ulriksen, La Serena, Chile, San Joaquín, La Serena, Coquimbo;0;12 años;300;160;0;0;0;3;2;2;0;0;1;0;0 ;253250358;844167,86;-29,92214;-71,23575;https://www.portalinmobiliario.com/MLC-1371716959-excelente-casa-sector-residencial-la-serena-_JM#position=41&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
141;Excelente Casa Serena Oriente Sector San Joaquin!!!;coquimbo;casa;venta;Manuel Domingo Illanes Cisternas, La Serena, Chile, San Joaquín, La Serena, Coquimbo;0;0 años;276;103;0;0;0;3;2;2;0;0;1;0;0 ;231848919;840032,3152;-29,94311;-71,24169;https://www.portalinmobiliario.com/MLC-1371749021-excelente-casa-serena-oriente-sector-san-joaquin-_JM#position=42&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
142;Linda Casa En Sector Serena Oriente La Serena;coquimbo;casa;venta;Av Guillermo Ulriksen, La Serena, Chile, San Joaquín, La Serena, Coquimbo;0;0 años;200;90;0;0;0;3;2;1;1;0;1;0;0 ;185479135;927395,675;-29,92214;-71,23575;https://www.portalinmobiliario.com/MLC-1524758764-linda-casa-en-sector-serena-oriente-la-serena-_JM#position=43&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
143;Preciosa Casa De 2 Pisos Con Vista Al Mar San Joaquin!!!;coquimbo;casa;venta;Av. Gabriela Mistral, La Serena, Chile, San Joaquín, La Serena, Coquimbo;NP;0 años;460;150;0;0;0;4;3;4;0;0;2;0;0 ;354907191;771537,3717;-29,92928;-71,24556;https://www.portalinmobiliario.com/MLC-1371693827-preciosa-casa-de-2-pisos-con-vista-al-mar-san-joaquin-_JM#position=44&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
144;Excelente Casa En Venta Sector La Arboleda La Serena!!!;coquimbo;casa;venta;Calle Meli, La Serena, Chile, La Antena, La Serena, Coquimbo;0;0 años;150;73;0;0;0;3;3;2;0;0;2;0;0 ;140000000;933333,3333;-29,91912;-71,23034;https://www.portalinmobiliario.com/MLC-1371737723-excelente-casa-en-venta-sector-la-arboleda-la-serena-_JM#position=45&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
145;   Amplia Casa Remodelada En Peñuelas;coquimbo;casa;venta;Juan Budinich, Coquimbo, Chile, Peñuelas, Coquimbo, Coquimbo;0;0 años;234;183;0;0;0;4;3;1;1;0;2;0;0 ;220000000;940170,9402;-29,96306;-71,29965;https://www.portalinmobiliario.com/MLC-1371692025-amplia-casa-remodelada-en-penuelas-_JM#position=46&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
146;Preciosa, Amplia, Luminosa Y Cómoda Casa Rosario De Peñuelas;coquimbo;casa;venta;Del Atardecer 4200 - 4500, Coquimbo, Chile, Peñuelas, Coquimbo, Coquimbo;NP;30 años;585;200;0;0;0;3;3;4;2;0;1;0;0 ;378092083;646311,253;-29,9626;-71,29472;https://www.portalinmobiliario.com/MLC-1372647309-preciosa-amplia-luminosa-y-comoda-casa-rosario-de-penuelas-_JM#position=47&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
147;Preciosa Casa Loteo San Marino Peñuelas Vista Al Mar;coquimbo;casa;venta;Río Lauca 3254, Coquimbo, 1802100 - 1802400, Coquimbo, Chile, Peñuelas, Coquimbo, Coquimbo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245759854;0;-29,9615;-71,30298;https://www.portalinmobiliario.com/MLC-1372610055-preciosa-casa-loteo-san-marino-penuelas-vista-al-mar-_JM#position=48&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
148;Amplia Y Bonita Casa En Colina Del Pino;coquimbo;casa;venta;Ambrosio Mansilla, La Serena, Chile, San Joaquín, La Serena, Coquimbo;0;0 años;380;182;0;0;0;4;3;2;0;0;1;0;0 ;253250358;666448,3105;-29,92007;-71,23626;https://www.portalinmobiliario.com/MLC-1524764068-amplia-y-bonita-casa-en-colina-del-pino-_JM#position=49&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
149;Cabañas En Horcon Bajo, Valle De Elqui.;coquimbo;casa;venta;Horcón, Paihuano, Chile, Paiguano, Coquimbo;NP;1 años;810;48;0;0;0;2;2;3;1;0;1;0;0 ;110574100;136511,2346;-30,02744;-70,51377;https://www.portalinmobiliario.com/MLC-1371561123-cabanas-en-horcon-bajo-valle-de-elqui-_JM#position=50&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
