;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
84;Ser Vende Hermosa Casa En Condominio (la Serena);coquimbo;casa;venta;La Florida , La Serena., La Florida, La Serena, Coquimbo;0;0;173;68;0;0;0;3;2;2;0;0;0;0;0;145000000;838150,289;-33,52763;-70,60099;https://www.portalinmobiliario.com/MLC-1372679289-ser-vende-hermosa-casa-en-condominio-la-serena-_JM#position=35&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
85;Casa En Venta De 3 Dorm. En Coquimbo;coquimbo;casa;venta;Wenceslao Vargas 717, Coquimbo, Coquimbo, Coquimbo;-;0 años;300;120;0;0;0;3;1;3;0;0;1;0;0 ;160000000;533333,3333;-29,96944;-71,33995;https://www.portalinmobiliario.com/MLC-1372432759-casa-en-venta-de-3-dorm-en-coquimbo-_JM#position=36&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
86;Casa En Venta, Disponible Entrega Inmediata 60 Millones;coquimbo;casa;venta;Las Compañías, La Serena, Centro de La Serena, La Serena, Coquimbo;0;0;96;96;0;0;0;3;1;1;0;0;0;0;0;60000000;625000;-29,88108;-71,24345;https://www.portalinmobiliario.com/MLC-1372692819-casa-en-venta-disponible-entrega-inmediata-60-millones-_JM#position=37&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
87;Modernamente Remodelada;coquimbo;casa;venta;San Joaquín, La Serena, Coquimbo;0;30 años;224;79;0;0;0;3;2;2;0;0;0;0;0;210090790;937905,3125;-29,91988;-71,24384;https://www.portalinmobiliario.com/MLC-1536581524-modernamente-remodelada-_JM#position=38&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
88;Casa Ampliada En Sector De Peñuelas Con Gran Plusvalía;coquimbo;casa;venta;Peñuelas, Coquimbo, Coquimbo;0;0 años;224;139;0;0;0;6;3;2;0;0;0;0;0;210447480;939497,6786;-29,95504;-71,29951;https://www.portalinmobiliario.com/MLC-1531043274-casa-ampliada-en-sector-de-penuelas-con-gran-plusvalia-_JM#position=39&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
89;Casa En Venta De 4 Dorm. En La Serena;coquimbo;casa;venta;Rehue, Compañia Alta, Las Compañías, La Serena, Coquimbo;Sur;23 años;72;40;0;0;0;4;1;1;0;0;2;0;0 ;60900000;845833,3333;-29,88458;-71,23986;https://www.portalinmobiliario.com/MLC-1539315104-casa-en-venta-de-4-dorm-en-la-serena-_JM#position=40&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
90;Hermosa Y Amplia Casa En Rinconada Del Sauce, Herradura Orie;coquimbo;casa;venta;Luis Aguilera Baez, Rinconada, Coquimbo, Coquimbo;0;0;1000;0;0;0;0;7;3;4;0;0;0;0;0;120000000;120000;-29,9724;-71,3393;https://www.portalinmobiliario.com/MLC-1532305376-hermosa-y-amplia-casa-en-rinconada-del-sauce-herradura-orie-_JM#position=41&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
91;Venta Casa San Ramón Coquimbo;coquimbo;casa;venta;San Ramon, San Juan, Coquimbo, Coquimbo;Poniente;0 años;190;150;0;0;0;5;3;3;1;0;0;0;0 ;227211941;1195852,321;-29,97605;-71,26145;https://www.portalinmobiliario.com/MLC-1373170045-venta-casa-san-ramon-coquimbo-_JM#position=42&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
92;Casa En Venta De 5 Dorm. En Coquimbo;coquimbo;casa;venta;Los Heliotropos, Sindempart, Sindempart, Coquimbo, Coquimbo;Nor-Oriente;32 años;251;174;0;0;0;5;3;5;0;0;2;0;0 ;170900000;680876,494;-29,98329;-71,33651;https://www.portalinmobiliario.com/MLC-1373146115-casa-en-venta-de-5-dorm-en-coquimbo-_JM#position=43&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
93;Se Vende Casa 216m2  Hostal Los Almendros Villa El Indio ,;coquimbo;casa;venta;Villa El Indio, La Pampa, La Serena, Coquimbo;0;0;216;134;0;0;0;7;5;3;0;0;0;0;0;231848919;1073374,625;-29,94293;-71,2588;https://www.portalinmobiliario.com/MLC-1372680475-se-vende-casa-216m2-hostal-los-almendros-villa-el-indio--_JM#position=44&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
94; Av. Geronimo Mendez;coquimbo;casa;venta;Av. Geronimo Mendez, Tierras Blancas, Coquimbo, Coquimbo;N;2014 años;200;105;0;0;0;3;3;1;0;0;2;0;0;178345322;891726,61;-29,96081;-71,26413;https://www.portalinmobiliario.com/MLC-1524735236-av-geronimo-mendez-_JM#position=45&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
95;Casa En Venta De 3 Dorm. En La Serena, Los Perales Con Ggv ;coquimbo;casa;venta;Los Perales, La Pampa, La Serena, Coquimbo;-;0 años;150;80;0;0;0;3;1;0;0;0;0;0;0 ;107007193;713381,2867;-29,9285;-71,2607;https://www.portalinmobiliario.com/MLC-1536271732-casa-en-venta-de-3-dorm-en-la-serena-los-perales-con-ggv-_JM#position=46&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
96;Avenida Portugal;coquimbo;casa;venta;Avenida Portugal, Rinconada, Coquimbo, Coquimbo;O;2008 años;250;131;0;0;0;5;2;1;0;0;0;0;0;180000000;720000;-29,98676;-71,33048;https://www.portalinmobiliario.com/MLC-1371664319-avenida-portugal-_JM#position=47&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
97;Casa En Venta De 2 Dorm. En La Serena;coquimbo;casa;venta;Casa De 1 Piso En Villa Juan Soldado, Las Compañías, La Serena, Coquimbo;-;26 años;127;60;0;0;0;2;1;1;0;0;1;0;0 ;60000000;472440,9449;-29,90459;-71,25673;https://www.portalinmobiliario.com/MLC-1372833879-casa-en-venta-de-2-dorm-en-la-serena-_JM#position=48&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
98;Argos/coquimbo;coquimbo;casa;venta;Argos,coquimbo, Centro de Coquimbo, Coquimbo, Coquimbo;NOSP;0;250;100;0;0;0;3;1;0;0;0;0;0;0;81218460;324873,84;-29,95775;-71,33691;https://www.portalinmobiliario.com/MLC-1540707920-argoscoquimbo-_JM#position=49&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
99;Venta Espectacular Casa En El Llano De Coquimbo;coquimbo;casa;venta;Venta Espectacular Casa En El Llano De Coquimbo, Coquimbo, Coquimbo;P;75 años;312;525;0;0;0;6;2;2;1;0;2;0;0;445863306;1429049,058;-29,96827;-71,31133;https://www.portalinmobiliario.com/MLC-1372890767-venta-espectacular-casa-en-el-llano-de-coquimbo-_JM#position=50&search_layout=stack&type=item&tracking_id=9c01b677-1aa1-44f8-b749-b1ca0b321cfd
100;Hermosa Casa En Terreno, Cruz De Caña;coquimbo;casa;venta;Los Manantiales, Cruz De Caña, cruz de caña, pan de azúcar, Coquimbo, Coquimbo;0;0;1092;0;0;0;0;4;3;5;0;0;0;0;0;120000000;109890,1099;38,89037;-77,03196;https://www.portalinmobiliario.com/MLC-1532281192-hermosa-casa-en-terreno-cruz-de-cana-_JM#position=1&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
101;Vendo Casa Condominio La Herradura Uf 3.400;coquimbo;casa;venta;Avenida El Sauce 200, Coquimbo, Chile, Sindempart, Coquimbo, Coquimbo;0;0;150;70;0;0;0;3;2;2;0;0;0;0;0;121274819;808498,7933;-29,98307;-71,34771;https://www.portalinmobiliario.com/MLC-1372698527-vendo-casa-condominio-la-herradura-uf-3400-_JM#position=2&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
102;Casa En Condominio Brisas Del Elqui, La Serena.;coquimbo;casa;venta;Avenida Estadio 4917, La Serena, Chile, La Pampa, La Serena, Coquimbo;0;0;200;140;0;0;0;3;3;1;0;0;0;0;0;321021580;1605107,9;-29,9431;-71,26791;https://www.portalinmobiliario.com/MLC-1538267946-casa-en-condominio-brisas-del-elqui-la-serena-_JM#position=3&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
103;Parcela 5.000mts2 Con Cabaña;coquimbo;casa;venta;Ruta 5 Norte Km 492, La Pampa, La Serena, Coquimbo;0;0;5000;75;0;0;0;1;1;0;0;0;0;0;0;142676258;28535,2516;-29,91228;-71,22364;https://www.portalinmobiliario.com/MLC-1531364678-parcela-5000mts2-con-cabana-_JM#position=4&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
104;Town House En Condominio Cerrado;coquimbo;casa;venta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62242517;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1527659308-town-house-en-condominio-cerrado-_JM#position=5&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
